0.0;NaN
0.1;NaN
0.2;NaN
0.3;NaN
0.4;NaN
0.5;NaN
0.6;NaN
0.7;NaN
1.;NaN
1.president;NaN
1.dogs;NaN
1.mountain;NaN
1.lawn;NaN
1.pants;NaN
1.1.7.10;NaN
1.wait;NaN
1.briefing;NaN
1.lord;NaN
1.missing;NaN
1.free;NaN
1.bros;NaN
1.fi;NaN
1.event;NaN
1.frequencies;NaN
1.vamps;NaN
1.jet;NaN
1.deep;NaN
1.video;NaN
1.animation;0.0
1.2014;NaN
1.death;NaN
1.2015;NaN
1.juju;NaN
1.theater;NaN
1.hd;NaN
1.elliot;NaN
1.smoke;NaN
1.3;NaN
1.2;NaN
1.project;NaN
1.whiteboard;NaN
1.1;NaN
1.7;NaN
1.6;NaN
1.5;NaN
1.ain;NaN
1.mamacita;0.0
1.4;NaN
1.quality;NaN
1.9;0.0
1.8;NaN
1.mutant;NaN
1.amir;NaN
1.review;NaN
1.go;NaN
1.queen;NaN
1.exclusive;NaN
1.john;NaN
1.217;0.0
1.horrible;0.0
1.net;NaN
1.ed;NaN
1.mad;NaN
1.dj;NaN
1.man;NaN
1.warner;0.0
1.christina;NaN
1.dr;NaN
1.2nd;0.0
1.ex;NaN
1.b;NaN
1.c;NaN
1.a;NaN
1.n;0.0
1.turtles;NaN
1.k;0.0
1.fire;NaN
1.intro;NaN
1.isac;NaN
1.i;NaN
1.arrested;NaN
1.w;NaN
1.new;0.0
1.red;NaN
1.vampire;NaN
1.t;NaN
1.forever;NaN
1.s;NaN
1.shorts;NaN
1.krankenstein;NaN
1.z;NaN
1.lego;NaN
1.heartaches;NaN
1.aguilera;NaN
1.sniper;NaN
1.by;NaN
1.ep.23;NaN
1.long;NaN
1.band;NaN
1.broadcasting;NaN
1.bank;0.0
1.kerry;NaN
1.watch;NaN
1.wheels;NaN
1.grave;NaN
1.double;NaN
1.fan;NaN
1.and;NaN
1.investigations;NaN
1.co;NaN
1.spongebob;NaN
1.names;NaN
1.teaser;NaN
1.sci;NaN
1.update;0.0
1.botter;NaN
1.sex;NaN
1.van;NaN
1.bill;NaN
1.walkthrough;NaN
1.vice;NaN
1.ikaw;NaN
1.set;NaN
1.vincent;NaN
1.emma;NaN
1.released;NaN
1.skyrim;0.0
1.met;NaN
1.samus;NaN
1.style;NaN
1.6x02;NaN
1.men;NaN
1.music;NaN
1.anniversary;NaN
1.dreamcatcher;NaN
1.d2b;NaN
1.krankcase;NaN
1.society;NaN
1.funny;NaN
1.at;NaN
1.oceanlab;NaN
1.sea;NaN
1.game;0.0
1.compilation;NaN
1.thediamondminecart;NaN
1.never;NaN
1.heartfelt;NaN
1.protector;NaN
1.mission;NaN
1.stand;NaN
1.am;NaN
1.there;NaN
1.sketchbook;NaN
1.suit;NaN
1.redemption;NaN
1.eternal;NaN
1.promo;NaN
1.no;NaN
1.highlight;NaN
1.bethany;0.0
1.of;NaN
1.rank;NaN
1.martial;0.0
1.on;NaN
1.only;NaN
1.benson;NaN
1.mcconaughey;NaN
1.op;NaN
1.slipknot;NaN
1.bad;NaN
1.harvey;NaN
1.bay;NaN
1.pc;NaN
1.holds;NaN
1.warfare;NaN
1.expert;0.0
1.punishment;NaN
1.legends;NaN
1.ls;NaN
1.mota;0.0
1.pictures;NaN
1.franklin;NaN
1.holy;NaN
1.road;NaN
1.riot;NaN
1.feat.;NaN
1.linying;NaN
1.mithril;NaN
1.joe;NaN
1.subscribe;NaN
1.rolling;NaN
1.3ds;NaN
1.misdemeanors;NaN
1.minifigures;NaN
1.me;NaN
1.xbox;NaN
1.september;0.0
1.clobber;NaN
1.threatpack;NaN
1.gmod;NaN
1.true;NaN
1.movie;NaN
1.my;NaN
1.with...ian;NaN
1.players;NaN
1.modular;NaN
1.earth;NaN
1.bfs;NaN
1.mess;NaN
1.pres.;NaN
1.middle;NaN
1.sky;NaN
1.ninjago;NaN
1.centurion;NaN
1.hardcore;NaN
1.when;NaN
1.crimes;NaN
1.action;NaN
1.train;0.0
1.official;NaN
1.sets;NaN
1.neutrality;NaN
1.bros.;0.0
1.stature;NaN
1.scream;NaN
1.isles;NaN
1.november;NaN
1.balloonman;NaN
1.team;NaN
1.ben;0.0
1.league;NaN
1.bandits;NaN
1.cooper;NaN
1.dinner;NaN
1.copier;NaN
1.squarepants;NaN
1.trailer;NaN
1.moon;NaN
1.lost;NaN
1.from;NaN
1.boogaloo;NaN
1.super;NaN
1.interstellar;NaN
1.gotham;NaN
1.minecraft;NaN
1.building;NaN
1.bionicle;NaN
1.alias;NaN
1.outlast;0.0
1.gameplay;NaN
1.biden;NaN
1.play;NaN
1.francisco;NaN
1.smash;NaN
1.aretha;NaN
1.ace;NaN
1.bottle;NaN
1.in;NaN
1.devil;NaN
1.hurt;NaN
1.bleed;NaN
1.subtitle;NaN
1.diaries;NaN
1.hashtags;NaN
1.arts;0.0
1.fallsongs;NaN
1.amethyst;0.0
1.jaehn;NaN
1.yellow;NaN
1.vs.;NaN
