0.0;1.1589073565805988E-4
0.1;6.602315674038152E-4
0.2;-6.485722013704972E-5
0.3;0.023409928602929262
0.4;0.0
0.5;0.0
0.6;0.0
0.7;0.0
1.brave;-9.331693488429553E-7
1.;4.283448085803261E-5
1.jojo;-1.6266676999295198E-6
1.mnek;3.4925437929870586E-6
1.religion;-3.4015496597883596E-6
1.celebrity;-2.564522461381574E-6
1.degenerate;-4.320483131669962E-6
1.event;-1.846662067308376E-6
1.joke;1.088211000303824E-6
1.mania;2.7348625346969566E-6
1.jet;-2.5349119296320844E-6
1.jeu;-5.622445482402475E-7
1.sharooz;-8.153497046711837E-7
1.brawl;2.0362800316038332E-6
1.told;0.0
1.midwest;-3.7684622791842378E-6
1.violates;-5.356004653997926E-6
1.theater;1.0176597898550448E-6
1..;1.3562895035136058E-5
1.meet;-3.9959405973559935E-6
1.evolution;0.0
1.3;3.173952783090692E-6
1.soundtrack;2.4170439471290194E-6
1.2;-2.489354471109192E-6
1.1;-2.7548981410403954E-6
1.dawn;2.1459580440943156E-6
1.7;4.9412958964871794E-6
1.6;2.5659513613606253E-6
1.5;1.7074576704869109E-6
1.4;-1.261289284994397E-5
1.quality;-3.9052457115532476E-7
1.9;1.1355037488499152E-5
1.8;4.136039494432695E-6
1.finals;-7.543291128360346E-7
1.rex;-1.727515498552721E-7
1.truck;-4.165201008727389E-6
1.rey;-1.3115724610554955E-6
1.confirmado;-1.007448311155043E-6
1.john;-4.545688020122663E-6
1.wheelie;0.0
1.francais;3.886641461173341E-6
1.snares;2.311524033852528E-6
1.drawing;2.3755519912743957E-6
1.whales;0.0
1.drip;3.845042164721189E-6
1.513;4.681247534345231E-6
1.finale;-7.55837243007886E-7
1.partytime;1.894483463815062E-7
1.ronald;3.7743213002072785E-6
1.times;-5.1234778142528244E-6
1.piero;6.417943427459308E-7
1.econ;0.0
1.pierwsze;-4.674598576457054E-6
1.grey;2.536913883840453E-6
1.pierwsza;1.4991598336177787E-6
1.ignore;-3.957340387397189E-6
1.f;1.7111344593173758E-6
1.experts;-3.957340387397189E-6
1.g;-5.784713962306894E-7
1.d;-4.000253435799093E-6
1.e;-1.0902958067533975E-6
1.b;1.4557703652890915E-5
1.springbreakit;-2.271525619231472E-6
1.c;3.9165317894083E-5
1.melbourne;9.692210943131697E-7
1.invisible;0.0
1.uitleggen;5.376868674071531E-7
1.a;-2.6148894073868652E-5
1.n;2.7621963062102087E-5
1.acessar;-2.804869644945297E-6
1.o;-2.658604871335184E-6
1.l;1.0309077865057781E-5
1.m;3.5894194662182416E-5
1.join;1.9433021570167897E-6
1.j;6.295181552525631E-6
1.taking;0.0
1.h;1.815905243464257E-5
1.i;2.0640363197076427E-5
1.w;1.0139147021732107E-5
1.v;2.2527843268575908E-5
1.rebukes;-9.331693488429553E-7
1.u;5.1156464527590696E-6
1.red;6.862566311576121E-6
1.t;2.7652413840112097E-5
1.s;-2.256786814410891E-6
1.days;-2.335120514463697E-6
1.r;8.609910696981666E-6
1.520;-1.6362424397636472E-6
1.legend;-2.493804283894731E-6
1.q;-2.498938074010791E-6
1.p;4.0652520758841976E-7
1.najwa;-5.517027763964083E-7
1.zona;3.0241493023600596E-6
1.debut;0.0
1.este;1.5454826619640037E-6
1.dayz;0.0
1.z;5.459792704738627E-6
1.medieval;-6.464894537916389E-7
1.zone;0.0
1.y;7.709450830686971E-6
1.extorted;-4.225689373662926E-6
1.x;2.8098794176246806E-6
1.loosers;-6.632985123932224E-7
1.fuga;4.628154375599352E-6
1.drop;1.9225210823605945E-6
1.tool;-2.731604447304643E-7
1.solitude;-1.5268204761399985E-6
1.spca;2.4460396012601957E-6
1.diner;-1.7269532071908271E-6
1.anthem;2.0403015162025592E-6
1.produktion;-2.387675384089064E-6
1.tony;-1.10584650739896E-6
1.kcrw;-3.256043699947794E-7
1.divas;-3.491958612134436E-6
1.jah;4.4281892743522026E-7
1.automatic;0.0
1.jay;0.0
1.double;9.96119858893162E-7
1.country;1.6255887171795127E-6
1.hd720p;8.190396305196576E-7
1.speech;1.4674179488755422E-6
1.indila;2.581283577652333E-6
1.artpop;-1.2095516688758552E-6
1.wears;0.0
1.esqu;2.470199161274503E-6
1.blackstreet;-8.750137209405889E-7
1.update;-7.810844315999526E-6
1.raw;1.2985718417399368E-6
1.espn;-1.751454842514995E-6
1.ray;-4.4930431292411554E-6
1.aristocrat;-1.3313141366033154E-6
1.dnieper;2.3420042483601593E-7
1.horse;2.1071261062877123E-6
1.rap;7.727695054775876E-6
1.unicorn;-1.6290936554576366E-6
1.varona;-1.3115724610554955E-6
1.confratanity;0.0
1.possible;-2.5353789610422256E-6
1.gran;0.0
1.everest;-4.674598576457054E-6
1.quantum;0.0
1.treasure;-3.33918193718294E-6
1.immigration;-1.8006655794525415E-6
1.andrea;-4.79434267237322E-7
1.brats;3.899522514112992E-6
1.chris;2.4429328776509873E-6
1.pelicula;2.1890291645113644E-6
1.andrew;6.605793542877494E-7
1.insurgency;0.0
1.compilation;1.5861165675723618E-5
1.swatting;5.109244349339281E-7
1.seaworld;0.0
1.hello;1.0594291812762478E-7
1.celente;-2.422789420572726E-7
1.espa;1.4501250900091953E-5
1.advantage;-1.4595264393737015E-6
