Bin 205 
training,205,0.9202082397924223,0.49410689776245653,123839,250632
testing ,205,0.9158439107049028,0.48088842975206614,7448,15488Bin 204 
training,204,0.9451794062470544,0.4838792376454714,143446,296450
testing ,204,1.059329342433864,0.4709743923611111,8681,18432Bin 207 
training,207,1.0746677193354477,0.47973259481090824,144814,301864
testing ,207,1.0402151999154658,0.45254543522159635,8516,18818Bin 206 
training,206,0.879740228179276,0.4864975450081833,137924,283504
testing ,206,0.9046341529992772,0.49988682661837935,8834,17672Bin 201 
training,201,0.933842942730779,0.4878922924105345,145388,297992
testing ,201,0.9517329615535706,0.45521907216494845,8478,18624Bin 200 
training,200,0.9215071755487817,0.4863529411764706,136422,280500
testing ,200,0.882496684050032,0.46871425303134295,8195,17484Bin 203 
training,203,0.9763187334199523,0.45914237814514025,133649,291084
testing ,203,0.9853996416785028,0.4728531855955679,8535,18050Bin 202 
training,202,0.8736080322627808,0.5203673295627319,171128,328860
testing ,202,0.8933641157932721,0.5122537006175865,10451,20402Bin 220 
training,220,0.9319762989939303,0.5304850127472093,171457,323208
testing ,220,0.8834992719332103,0.53995,10799,20000
